dataset,candidate_id,mode,gamma,entropy_power,num_samples,correct,accuracy,macro_accuracy,nll,brier,ece,wrong_to_correct,correct_to_wrong,net_correction,changed_prediction_rate,prediction_sha256,mean_effective_correction_abs,max_effective_correction_abs,prediction_gate_mean,mean_clean_mass
dtd,0,direct_prior,0.01,1.0,32,10,31.25,29.545454545454547,2.479380559529393,0.8117060613411468,0.2542479507429189,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.0004371364567904793,0.0017570112057139521,1.0,0.3922988176345825
dtd,1,direct_prior,0.025,1.0,32,10,31.25,29.545454545454547,2.4793355751913047,0.8117374254728877,0.2667198796544585,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.0010928411419761984,0.00439252801428488,1.0,0.3922988176345825
dtd,2,direct_prior,0.05,1.0,32,10,31.25,29.545454545454547,2.4792612117466555,0.8117898357088029,0.2666761688939719,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.0021856822839523967,0.00878505602856976,1.0,0.3922988176345825
dtd,3,direct_prior,0.1,1.0,32,10,31.25,29.545454545454547,2.4791147729202816,0.8118951675037367,0.26658866784783825,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.0043713645679047935,0.01757011205713952,1.0,0.3922988176345825
dtd,4,direct_prior,0.2,1.0,32,10,31.25,29.545454545454547,2.478831038664709,0.8121078666931072,0.2664133521314632,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.008742729135809587,0.03514022411427904,1.0,0.3922988176345825
dtd,5,direct_prior,0.3,1.0,32,10,31.25,29.545454545454547,2.4785594786172496,0.8123232613832835,0.2662376267154106,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.01311409370371438,0.05271033617141856,1.0,0.3922988176345825
dtd,6,entropy_gated_prior,0.025,1.0,32,10,31.25,29.545454545454547,2.47934487921649,0.8117223582334749,0.2542229897966656,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.0008592732352729277,0.003895039589000048,0.776660163863158,0.3922988176345825
dtd,7,entropy_gated_prior,0.05,1.0,32,10,31.25,29.545454545454547,2.479279587032308,0.8117596453974202,0.26668195322461563,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.0017185464705458554,0.007790079178000096,0.776660163863158,0.3922988176345825
dtd,8,entropy_gated_prior,0.1,1.0,32,10,31.25,29.545454545454547,2.4791505932203814,0.8118345642328509,0.2666002644915452,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.0034370929410917107,0.015580158356000191,0.776660163863158,0.3922988176345825
dtd,9,entropy_gated_prior,0.2,1.0,32,10,31.25,29.545454545454547,2.4788989644951585,0.8119857750372947,0.26643665499422764,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.0068741858821834215,0.031160316712000383,0.776660163863158,0.3922988176345825
dtd,10,entropy_gated_prior,0.3,1.0,32,10,31.25,29.545454545454547,2.478655807877297,0.8121388072453477,0.26627274068633944,0,0,0,0.0,b61cbf42910703ed10bda86c8bc199053a8381e6501505009a4cde643acc5f54,0.01031127882327513,0.04674047506800057,0.776660163863158,0.3922988176345825
