dataset,candidate_id,mode,gamma,entropy_power,num_samples,correct,accuracy,macro_accuracy,nll,brier,ece,wrong_to_correct,correct_to_wrong,net_correction,changed_prediction_rate,prediction_sha256,mean_effective_correction_abs,max_effective_correction_abs,prediction_gate_mean,mean_clean_mass
fgvc,0,direct_prior,0.01,1.0,3333,873,26.192619261926193,26.13992869875223,2.8196286249122187,0.8471112733908769,0.08783409386536853,0,0,0,0.030003000300030006,b9cc05bdbf9f229bf86e12b47b610391b457f0b0f6d89ad3cfb2ca7602dc15ad,0.0010759601803568607,0.013063972745931358,1.0,0.8682740926742554
fgvc,1,direct_prior,0.025,1.0,3333,873,26.192619261926193,26.13992869875223,2.8197978516725053,0.8471241940821621,0.08787428157346536,1,1,0,0.15001500150015,a70bc1011026975357a0684d948393f270eb1c10aec7fdec8624c733a9cd79cc,0.0026899004508921507,0.0326599318648284,1.0,0.8682740926742554
fgvc,2,direct_prior,0.05,1.0,3333,873,26.192619261926193,26.13992869875223,2.8200805317068256,0.8471457617999054,0.08794123511079326,1,1,0,0.18001800180018002,84c9a1f944cdb755f41297d4956e71e5ff6b5e792adfe6c1acc1aad4c86ed657,0.005379800901784301,0.0653198637296568,1.0,0.8682740926742554
fgvc,3,direct_prior,0.1,1.0,3333,873,26.192619261926193,26.13992869875223,2.820648261672282,0.8471890198762407,0.08807490470453422,1,1,0,0.27002700270027,83c1708a6f5539e1ffaa9c9f152cce595077c5f3dfe03acb6eb7354f75a90c9a,0.010759601803568603,0.1306397274593136,1.0,0.8682740926742554
fgvc,4,direct_prior,0.2,1.0,3333,871,26.13261326132613,26.07932263814617,2.8217931015681783,0.8472760116788441,0.08894199929578454,1,3,-2,0.4800480048004801,cb7bd61e32a22db1f6cc8cb63569004127622679a26d89dbff0f9f3c463f7e77,0.021519203607137206,0.2612794549186272,1.0,0.8682740926742554
fgvc,5,direct_prior,0.3,1.0,3333,872,26.162616261626166,26.110516934046345,2.8229502619845452,0.8473636106431987,0.08890874169117453,3,4,-1,0.8100810081008101,9b673b4456417cfd8be56db67f3ec018a02dc722eadff227e27bc0215012d05b,0.032278805410705796,0.3919191823779407,1.0,0.8682740926742554
fgvc,6,entropy_gated_prior,0.025,1.0,3333,873,26.192619261926193,26.13992869875223,2.8196100671328828,0.8471091009203872,0.08783140196716507,1,1,0,0.09000900090009001,0742f6a3614025ac79c626a49e1bb138a8bf542622e4f563547f97d5cbee16d6,0.000844330999127993,0.018376907128489307,0.3603095713541061,0.8682740926742554
fgvc,7,entropy_gated_prior,0.05,1.0,3333,873,26.192619261926193,26.13992869875223,2.8197043560493626,0.8471155442311713,0.08785553041942722,1,1,0,0.18001800180018002,84c9a1f944cdb755f41297d4956e71e5ff6b5e792adfe6c1acc1aad4c86ed657,0.001688661998255986,0.036753814256978615,0.3603095713541061,0.8682740926742554
fgvc,8,entropy_gated_prior,0.1,1.0,3333,873,26.192619261926193,26.13992869875223,2.819893496902913,0.8471284617996914,0.08790378101561933,1,1,0,0.21002100210021002,c51cb5399b42eb895ef91f6ec405a11a01d22b61443d44124a24efb4bc8fc31c,0.003377323996511972,0.07350762851395723,0.3603095713541061,0.8682740926742554
fgvc,9,entropy_gated_prior,0.2,1.0,3333,873,26.192619261926193,26.13992869875223,2.82027401974204,0.8471544196049224,0.08800044399892341,1,1,0,0.24002400240024005,1a24279d93778460443748c12ec12eba8a288a6608e3ba2728fc6b99a8ef18f3,0.006754647993023944,0.14701525702791446,0.3603095713541061,0.8682740926742554
