dataset,candidate_id,base_accuracy,accuracy,delta_pp,base_last50_accuracy,last50_accuracy,delta_last50_pp,delta_correct,delta_last50_correct,mean_gate,median_gate,gate_p10,gate_p25,gate_p75,gate_p90,mean_effective_update_mass,prediction_sha256,state_sha256,health_status
fgvc,U1_t0.075_p0.25,27.242724272427242,27.062706270627064,-0.18001800180017824,28.974205158968207,28.734253149370126,-0.23995200959808116,-6,-4,0.9361691474914551,0.9562472105026245,0.8559973001480102,0.9122703671455383,0.9883551001548767,0.9999933838844299,0.9361714124679565,b3e46a950869a44f456de01ad946dcc2f588054eb1da7a61890faf70eb25bb57,df172633d0bd3509f1576f426f2908916d7f9aa2956b3315db6010536dd81480,healthy
fgvc,U1_t0.075_p0.5,27.242724272427242,26.672667266726673,-0.5700570057005692,28.974205158968207,27.834433113377326,-1.139772045590881,-19,-19,0.8823351860046387,0.914680004119873,0.7303412318229675,0.8297752141952515,0.9782881140708923,0.99999018907547,0.8823373317718506,23f505c0795b4e28d2c46010e8c0914eae6504d9cb7670f97aade71e495d52ee,f7636f704385a5ec7cd58cc18c121861fd0b2108ba45a92b47e03ee5656c73e7,healthy
fgvc,U1_t0.075_p1,27.242724272427242,26.042604260426042,-1.2001200120012,28.974205158968207,27.294541091781642,-1.6796640671865646,-40,-28,0.7812716960906982,0.8314342498779297,0.5030625104904175,0.685083270072937,0.9511467218399048,0.9999672889709472,0.781273603439331,f4de24412aa4b89a358e4e320a3514595ab4a84f58789509ebe93a64a5753cc1,2e89d60ba8a1435dc294333540e54928bf3b26147681299d0981b3069c57bd3a,healthy
fgvc,U1_t0.075_p2,27.242724272427242,25.682568256825682,-1.5601560156015601,28.974205158968207,27.114577084583082,-1.8596280743851246,-52,-31,0.6303444504737854,0.6703872084617615,0.19379981458187107,0.4282028377056122,0.8937993049621582,0.9998831748962402,0.63034588098526,9144beb94e38f9a371454cb6249b447e3ffac146fd54b47e693c9371d2c470ed,b67518869a8b9e865bbc5692c3e95f021b43fef3fce860a596cf02d028fe6a3e,healthy
fgvc,U1_t0.15_p0.25,27.242724272427242,27.182718271827184,-0.06000600060005823,28.974205158968207,28.974205158968207,0.0,-2,0,0.9635646939277649,0.976460337638855,0.917984664440155,0.9514559507369995,0.9937334656715393,0.9999970912933349,0.9635668396949768,3602b68e68c3f5e4b4e6a0c57cd1ddfcd556eb6e9cc2ff0a6c74d3e4a9e3b3cf,930a11c32f9b7339fbd7770fc1108b9f8d836921e5566b64fe6ef7cb343974be,healthy
fgvc,U1_t0.15_p0.5,27.242724272427242,27.032703270327033,-0.21002100210020913,28.974205158968207,28.614277144571087,-0.35992801439711997,-7,-6,0.9307969212532043,0.9532756209373474,0.8408130645751953,0.9044521450996399,0.9869428873062134,0.9999919891357422,0.930799126625061,932f23b88b7a96813c1d589b5821c79d31100730d0b5121c0b2afc3d1723c3e1,7aba8fa002b8012a83a34a280fb8165b19a7b04e7df10cd0ad9caaf602fd0b0c,healthy
fgvc,U1_t0.15_p1,27.242724272427242,26.312631263126313,-0.9300930093009292,28.974205158968207,27.534493101379724,-1.4397120575884834,-31,-24,0.8721098899841309,0.9092642664909363,0.7045567989349365,0.8172606825828552,0.9753172993659973,0.9999867439270019,0.872111976146698,189c6f3620d40a01eb416b197da81ac271761dc6654c043d39c76ba6a22dbfdf,5eead88a74faf5ac12c73618b0cc98b4b0bd91322b7147da81310c61fd26480d,healthy
fgvc,U1_t0.15_p2,27.242724272427242,25.952595259525953,-1.2901290129012892,28.974205158968207,27.474505098980202,-1.4997000599880046,-43,-25,0.7657673954963684,0.819923460483551,0.46171664595603945,0.6589428186416626,0.9465132355690002,0.9999605178833008,0.7657693028450012,b9f7c94e30cb4afa44174494a3853a4a38b00c605dc0a8f138e1852a5eebc4f1,1e27810115f246e160fc7a5aabaeb57c273f302fcbacdc94d190723742b3ea5e,healthy
fgvc,U1_t0.3_p0.25,27.242724272427242,27.09270927092709,-0.1500150015001509,28.974205158968207,28.794241151769647,-0.17996400719855998,-5,-3,0.9802031517028809,0.9877066612243652,0.9559185266494751,0.9744855165481567,0.9964914321899414,0.9999983906745911,0.9802054166793823,df0608b16d57ba8c4f1b9055d0b886e8b8a05cbb71a822e786598e53dff17733,0eeea8dcf1e56171dacc561de13bafbc914f45de09497b5a55941cc0d410aec3,healthy
fgvc,U1_t0.3_p0.5,27.242724272427242,27.122712271227122,-0.12001200120012001,28.974205158968207,28.914217156568686,-0.05998800239952118,-4,-1,0.9616144895553589,0.9755517244338989,0.9125828385353089,0.9494380354881287,0.9934145212173462,0.9999966502189637,0.9616166949272156,ccd315febe304b67371d22422a32ad121239cc0c9555f3e804846aeb82424a5e,19ce9d42c5b8f543d6841543c93fc8ae4e791811b872e69e65223615414dfc79,healthy
