dataset,arm,config_sha256,wrong_to_correct,correct_to_wrong,net_correction,changed_prediction_rate,ncr,accuracy,nll,brier,ece
oxford_pets,posterior,a849f56a0a970fd61c0414d361bc392a5c5832d36cd9ff6e54a85838a0fecf45,0,1,-1,0.027255382938130283,-0.02725538293813028,91.87789588443718,0.23249914414928305,0.11487960864166111,0.02252183446412394
oxford_pets,posterior,0eefcc38f06fe1a12575ef68cd598a6d61b75ccb163571ddfbe3061208fad59f,0,0,0,0.0,0.0,91.9051512673753,0.23248950893543055,0.11487499367609177,0.022793511740516113
oxford_pets,posterior,aefffc43babaab8eb6fcbc2475d9a71792820253c3caa607f50d9331d7772ece,1,1,0,0.05451076587626057,0.0,91.9051512673753,0.23256571648016505,0.1148939861787311,0.022812607028270503
oxford_pets,posterior,1277c7d2c13875da67801ba1bf33750a03111ce816d79d517ced73b3d3ebb8da,0,1,-1,0.027255382938130283,-0.02725538293813028,91.87789588443718,0.23254634477902672,0.11488472573859193,0.022538333741349427
oxford_pets,posterior,2c043afd9daec8300e98688fa934ba86e579c3f4464ce7a217519cd399b61f9d,1,1,0,0.05451076587626057,0.0,91.9051512673753,0.23269978173366693,0.1149229340541587,0.02208507246203037
oxford_pets,posterior,f6125e291cb3d163801196312b2c12d6678518454a49169fa36b75448eb41a5a,1,1,0,0.05451076587626057,0.0,91.9051512673753,0.23266066888579584,0.11490429128408756,0.02208211239448648
oxford_pets,posterior,974f4b9286d70cf4e60618cde4fef315c47404c14d5f75a93d9b0c11eb2b33d9,1,1,0,0.05451076587626057,0.0,91.9051512673753,0.23256571648016505,0.1148939861787311,0.022812607028270503
oxford_pets,posterior,5fc1060e7e727ae166004f5c7faf03e5d8cce54ca4fa0b2cae981bccd689e18d,0,1,-1,0.027255382938130283,-0.02725538293813028,91.87789588443718,0.23254634477902672,0.11488472573859193,0.022538333741349427
oxford_pets,posterior,f65a72582364988b015a3ad55c75860e43ef7f69d9e7acf795e41834e4f24cfc,1,1,0,0.05451076587626057,0.0,91.9051512673753,0.23269978173366693,0.1149229340541587,0.02208507246203037
oxford_pets,posterior,5cfd27b18789321ca909eb75ff5aa9bdd0a06f89c1bc0052c31b72d72c122704,1,1,0,0.05451076587626057,0.0,91.9051512673753,0.23266066888579584,0.11490429128408756,0.02208211239448648
oxford_pets,posterior,e708eefcb84e77c85151dd0e25aede3398ba3910999182688e186c7a9ee00bc2,2,1,1,0.08176614881439084,0.02725538293813028,91.93240665031344,0.23297148284453312,0.11498154743259043,0.022412100513906037
oxford_pets,posterior,d0a135beb7c6b09a54ce13c77d128e06b04edfd50077205b12dc37b8b2a10aae,2,1,1,0.08176614881439084,0.02725538293813028,91.93240665031344,0.23289174253969613,0.11494374449034093,0.02215157108090493
oxford_pets,posterior,0a8da61da7404f9b9a107ce06e6deb0f44c6bbd0b0b3d4b2e93a490b7838c189,1,1,0,0.05451076587626057,0.0,91.9051512673753,0.23269978173366693,0.1149229340541587,0.02208507246203037
